"id","name","category","latitude","longitude","created_at","updated_at"
"e7dbfa84-33cd-4c2a-b214-8fb9a8cbff0e","pitch","Fasilitas Olahraga",-7.4477749,112.7059453,"2026-07-30 15:22:03.477073","2026-07-30 15:22:03.477073"
"b00bb5c6-2a9c-44a6-8a8b-228830c50600","Gelora Delta Sidoarjo","Fasilitas Olahraga",-7.4477604,112.7058115,"2026-07-30 15:22:03.477073","2026-07-30 15:22:03.477073"
"efeda61b-5e1b-463a-b914-3665692dbc82","pitch","Fasilitas Olahraga",-7.4178536,112.6748768,"2026-07-30 15:22:03.477073","2026-07-30 15:22:03.477073"
"189afec7-b4c1-4046-ab2b-d82ba71320da","Lapangan Ngelom","Fasilitas Olahraga",-7.3480555,112.6894471,"2026-07-30 15:22:03.477073","2026-07-30 15:22:03.477073"
"20e003bc-c509-4e79-a228-0bff406daa4e","pitch","Fasilitas Olahraga",-7.4000428,112.6733935,"2026-07-30 15:22:03.477073","2026-07-30 15:22:03.477073"
"a968f647-e7b4-4da2-8957-74417184c0f8","pitch","Fasilitas Olahraga",-7.3400602,112.714538,"2026-07-30 15:22:03.477073","2026-07-30 15:22:03.477073"
"1fb6da2d-6c9c-49b4-9298-87e4a6ac6b42","pitch","Fasilitas Olahraga",-7.3429766,112.7160165,"2026-07-30 15:22:03.477073","2026-07-30 15:22:03.477073"
"5bfa45b0-cbbf-4386-8a0e-3eac77959c40","pitch","Fasilitas Olahraga",-7.3428384,112.7160468,"2026-07-30 15:22:03.477073","2026-07-30 15:22:03.477073"
"ad716ecc-550d-4db0-a0a8-1a5e3059b7e5","pitch","Fasilitas Olahraga",-7.3875478,112.7416372,"2026-07-30 15:22:03.477073","2026-07-30 15:22:03.477073"
"ded49037-6789-4798-a785-a676493208ab","Stadion Jenggolo","Fasilitas Olahraga",-7.4366032,112.7218764,"2026-07-30 15:22:03.477073","2026-07-30 15:22:03.477073"
"2cf23a12-5fb9-4e1a-acb9-a9ce9ff96d00","pitch","Fasilitas Olahraga",-7.3989278,112.7338455,"2026-07-30 15:22:03.477073","2026-07-30 15:22:03.477073"
"bbadb48b-4548-46e9-915d-65f51dfa3574","pitch","Fasilitas Olahraga",-7.3991406,112.7344808,"2026-07-30 15:22:03.477073","2026-07-30 15:22:03.477073"
"a8cdb02e-3229-4cb5-b314-a46fd2c1de8a","pitch","Fasilitas Olahraga",-7.392327,112.7335228,"2026-07-30 15:22:03.477073","2026-07-30 15:22:03.477073"
"8b85788d-bdeb-4cbe-8205-8c7739982e12","pitch","Fasilitas Olahraga",-7.3923472,112.7333786,"2026-07-30 15:22:03.477073","2026-07-30 15:22:03.477073"
"22ade416-fb23-48fe-b1b9-f2b42daba839","Lapangan TPL 2","Fasilitas Olahraga",-7.3632139,112.7135734,"2026-07-30 15:22:03.477073","2026-07-30 15:22:03.477073"
"ff4e30b1-49ea-4f26-8379-97f2411e5865","Lapangan Jenggolo","Fasilitas Olahraga",-7.3887931,112.731594,"2026-07-30 15:22:03.477073","2026-07-30 15:22:03.477073"
"d697b25e-85b3-4a32-aa90-d9af5fba89d9","Lapangan Perseka Muda","Fasilitas Olahraga",-7.3496689,112.7535599,"2026-07-30 15:22:03.477073","2026-07-30 15:22:03.477073"
"1ca0d545-6890-4926-ae0e-99d69222d734","pitch","Fasilitas Olahraga",-7.4212008,112.5886995,"2026-07-30 15:22:03.477073","2026-07-30 15:22:03.477073"
"2a0b20d6-ba13-4371-9598-3a6ea8b80537","pitch","Fasilitas Olahraga",-7.4212497,112.5888566,"2026-07-30 15:22:03.477073","2026-07-30 15:22:03.477073"
"46fe8ba5-2eda-4ae8-abf3-5aa98e8659aa","pitch","Fasilitas Olahraga",-7.5385718,112.6877241,"2026-07-30 15:22:03.477073","2026-07-30 15:22:03.477073"
"72204942-6d73-4a26-a31f-75697dbfc32f","Lapangan Sumput","Fasilitas Olahraga",-7.4344716,112.6868949,"2026-07-30 15:22:03.477073","2026-07-30 15:22:03.477073"
"82b345a0-fd56-4c90-ab97-a03bc0e178f1","pitch","Fasilitas Olahraga",-7.3851821,112.7680673,"2026-07-30 15:22:03.477073","2026-07-30 15:22:03.477073"
"cf4b0ad6-e57a-4a65-800e-c256f518604e","pitch","Fasilitas Olahraga",-7.3858494,112.7686643,"2026-07-30 15:22:03.477073","2026-07-30 15:22:03.477073"
